tile_id,atlas_row,atlas_column,category,source_tileset,source_row,source_column
109,6,13,furniture_object,TILESET - Canaan-CidHouse_2F.png,2,7
110,6,14,furniture_object,TILESET - Dwarven_HollowB1_B2.png,2,7
111,6,15,furniture_object,TILESET - Vikings_Cove-1.png,2,7
112,7,0,furniture_object,TILESET - Ur_EldersHouse.png,2,7
113,7,1,furniture_object,TILESET - Amur-Shrine.png,2,7
114,7,2,furniture_object,TILESET - Gulgan_Gulch1.png,2,7
115,7,3,furniture_object,TILESET - Ur_EldersHouse.png,1,13
116,7,4,furniture_object,TILESET - The_Invincible.png,0,1
117,7,5,furniture_object,TILESET - Mythril_Mine.png,2,9
118,7,6,furniture_object,TILESET - Alter Cave.png,2,9
119,7,7,furniture_object,TILESET - Mythril_Mine.png,1,6
120,7,8,furniture_object,TILESET - Alter Cave.png,1,6
121,7,9,furniture_object,TILESET - Eureka_B7_1.png,3,6
122,7,10,furniture_object,TILESET - Molten_CaveB1.png,3,6
123,7,11,furniture_object,TILESET - Ur_EldersHouse.png,1,6
124,7,12,furniture_object,TILESET - Canaan-CidHouse_2F.png,2,6
125,7,13,furniture_object,TILESET - Shop_1.png,3,3
126,7,14,furniture_object,TILESET - Ur_EldersHouse.png,3,3
127,7,15,furniture_object,TILESET - Ur_Shed.png,2,8
128,8,0,furniture_object,TILESET - Tower_of_Owen11F.png,1,15
129,8,1,furniture_object,TILESET - Mythril_Mine.png,1,15
130,8,2,furniture_object,TILESET - Kazus.png,6,15
131,8,3,furniture_object,TILESET - Saronia_Castle-Gate.png,4,0
132,8,4,furniture_object,TILESET - Alter Cave.png,2,7
133,8,5,furniture_object,TILESET - Mythril_Mine.png,2,7
134,8,6,furniture_object,TILESET - Ur_EldersHouse.png,2,8
135,8,7,furniture_object,TILESET - Amur.png,6,7
136,8,8,furniture_object,TILESET - Tozus.png,6,7
137,8,9,furniture_object,TILESET - Ur.png,6,15
138,8,10,furniture_object,TILESET - Canaan-Magic_WeaponShop.png,2,8
139,8,11,furniture_object,TILESET - Subterranean_Lake1.png,3,6
140,8,12,furniture_object,TILESET - Eureka_B1.png,3,6
141,8,13,furniture_object,TILESET - Eureka_B3.png,3,6
142,8,14,furniture_object,TILESET - Castle_Sasune_Inner.png,2,0
143,8,15,furniture_object,TILESET - Ancients_Maze1.png,2,6
144,9,0,furniture_object,TILESET - Castle_Argus-Tower.png,0,9
145,9,1,furniture_object,TILESET - Castle_Argus-Tower.png,6,0
146,9,2,furniture_object,TILESET - Castle_Sasune.png,0,14
147,9,3,furniture_object,TILESET - Amur.png,7,0
148,9,4,furniture_object,TILESET - Kazus.png,7,0
149,9,5,furniture_object,TILESET - Ur.png,7,0
150,9,6,furniture_object,TILESET - Bahamuts_Nest.png,7,12
151,9,7,furniture_object,TILESET - Dragons_Peak.png,7,12
152,9,8,furniture_object,TILESET - Tozus-Inn_ItemShop.png,7,12
153,9,9,furniture_object,TILESET - Shop_1.png,7,12
154,9,10,furniture_object,TILESET - Canaan-Shrine.png,7,12
155,9,11,furniture_object,TILESET - Retrieval_Forest.png,7,12
156,9,12,furniture_object,TILESET - Ancients_Maze1.png,7,12
157,9,13,furniture_object,TILESET - Saronia_Catacombs3.png,7,12
158,9,14,furniture_object,TILESET - Cave_of_Tides1.png,7,12
159,9,15,furniture_object,TILESET - Cave_of_the_Circle1.png,7,12
160,10,0,furniture_object,TILESET - Amur-ArmorShop.png,7,12
161,10,1,furniture_object,TILESET - Amur-House.png,7,12
162,10,2,furniture_object,TILESET - Canaan-Inn_ItemShop.png,2,12
163,10,3,furniture_object,TILESET - Canaan-NobleHouse.png,0,7
164,10,4,furniture_object,TILESET - Eureka_B1.png,1,11
165,10,5,furniture_object,TILESET - Eureka_B3.png,1,11
166,10,6,furniture_object,TILESET - Tower_of_Owen11F.png,3,1
167,10,7,furniture_object,TILESET - Canaan-NobleHouse.png,7,8
168,10,8,furniture_object,TILESET - SealedCave.png,0,14
169,10,9,furniture_object,TILESET - Canaan-CidHouse_2F.png,7,12
170,10,10,furniture_object,TILESET - Canaan-CidHouse_1F.png,7,12
171,10,11,furniture_object,TILESET - Saronia_Castle-Gate.png,1,8
172,10,12,furniture_object,TILESET - Sewers1.png,2,1
173,10,13,furniture_object,TILESET - Alter Cave.png,1,7
174,10,14,furniture_object,TILESET - Canaan-NobleHouse.png,2,12
175,10,15,furniture_object,TILESET - Ur_EldersHouse.png,7,12
176,11,0,furniture_object,TILESET - Canaan-Magic_WeaponShop.png,7,11
177,11,1,furniture_object,TILESET - Castle_Argus-Tower.png,7,12
178,11,2,furniture_object,TILESET - Castle_Sasune_Inner.png,7,12
179,11,3,furniture_object,TILESET - Castle_Sasune_Inner2.png,7,12
180,11,4,furniture_object,TILESET - Mythril_Mine.png,7,12
181,11,5,furniture_object,TILESET - Alter Cave.png,7,12
182,11,6,furniture_object,TILESET - Cave_of_Shadows3_2.png,7,12
183,11,7,furniture_object,TILESET - Tozus.png,4,6
184,11,8,furniture_object,TILESET - Shop_1.png,3,4
185,11,9,furniture_object,TILESET - Canaan-Inn_ItemShop.png,7,13
186,11,10,furniture_object,TILESET - Canaan-ArmorShop.png,7,13
187,11,11,furniture_object,TILESET - Canaan-CidHouse_1F.png,7,13
188,11,12,furniture_object,TILESET - Canaan-Magic_WeaponShop.png,7,13
189,11,13,furniture_object,TILESET - Tower_of_Owen10F.png,3,1
190,11,14,furniture_object,TILESET - Tower_of_Owen1F.png,0,2
191,11,15,furniture_object,TILESET - Ancients_Maze1.png,2,9
192,12,0,furniture_object,TILESET - Ancients_Maze1.png,1,9
193,12,1,furniture_object,TILESET - Chocobos_Forest.png,2,12
194,12,2,furniture_object,TILESET - Retrieval_Forest.png,2,12
195,12,3,furniture_object,TILESET - Saronia_Catacombs3.png,0,10
196,12,4,furniture_object,TILESET - Crystal_Tower_8F_1.png,1,3
197,12,5,furniture_object,TILESET - Ancients_Maze1.png,3,2
198,12,6,furniture_object,TILESET - Tower_of_Owen10F.png,1,15
199,12,7,furniture_object,TILESET - Castle_Argus.png,0,15
200,12,8,furniture_object,TILESET - Castle_Argus.png,1,9
201,12,9,furniture_object,TILESET - Castle_Argus.png,5,2
202,12,10,furniture_object,TILESET - Castle_Sasune.png,5,2
203,12,11,furniture_object,TILESET - Castle_Sasune.png,1,9
204,12,12,furniture_object,TILESET - Castle_Sasune.png,0,15
205,12,13,furniture_object,TILESET - Shop_1.png,3,7
206,12,14,furniture_object,TILESET - Amur-ArmorShop.png,3,7
207,12,15,furniture_object,TILESET - Amur-Magic_WeaponShop.png,3,7
208,13,0,furniture_object,TILESET - Amur-ArmorShop.png,3,4
209,13,1,furniture_object,TILESET - Amur-Magic_WeaponShop.png,3,4
210,13,2,furniture_object,TILESET - Amur-Magic_WeaponShop.png,2,2
211,13,3,furniture_object,TILESET - Amur-ArmorShop.png,2,2
212,13,4,furniture_object,TILESET - Shop_1.png,2,2
213,13,5,furniture_object,TILESET - Canaan-Inn_ItemShop.png,7,12
214,13,6,furniture_object,TILESET - Ur_Shed.png,7,8
215,13,7,furniture_object,TILESET - Tozus-Inn_ItemShop.png,2,12
216,13,8,furniture_object,TILESET - Subterranean_Lake1.png,1,3
217,13,9,furniture_object,TILESET - Eureka_B1.png,1,3
218,13,10,furniture_object,TILESET - Eureka_B3.png,1,3
219,13,11,furniture_object,TILESET - Eureka_B7_1.png,1,3
220,13,12,furniture_object,TILESET - Alter Cave.png,1,3
221,13,13,furniture_object,TILESET - Molten_CaveB1.png,1,3
222,13,14,furniture_object,TILESET - SealedCave.png,1,7
223,13,15,furniture_object,TILESET - Castle_Argus.png,2,1
224,14,0,furniture_object,TILESET - Castle_Argus.png,1,8
225,14,1,furniture_object,TILESET - Canaan-ArmorShop.png,5,4
226,14,2,furniture_object,TILESET - Canaan-Magic_WeaponShop.png,5,4
227,14,3,furniture_object,TILESET - SealedCave.png,1,3
228,14,4,furniture_object,TILESET - SealedCave.png,3,6
229,14,5,furniture_object,TILESET - Alter Cave.png,3,6
230,14,6,furniture_object,TILESET - Molten_CaveB1.png,4,12
231,14,7,furniture_object,TILESET - Molten_CaveB1.png,0,12
232,14,8,furniture_object,TILESET - Alter Cave.png,1,15
233,14,9,furniture_object,TILESET - Sewers1.png,2,14
234,14,10,furniture_object,TILESET - Tozus-Inn_ItemShop.png,0,7
235,14,11,furniture_object,TILESET - Chocobos_Forest.png,7,12
236,14,12,furniture_object,TILESET - Amur-ArmorShop.png,2,6
237,14,13,furniture_object,TILESET - Amur-Magic_WeaponShop.png,2,6
238,14,14,furniture_object,TILESET - Dwarven_HollowB1_B2.png,2,6
239,14,15,furniture_object,TILESET - Vikings_Cove-1.png,2,6
240,15,0,furniture_object,TILESET - Alter Cave.png,6,15
241,15,1,furniture_object,TILESET - Inn_ItemShop.png,0,15
242,15,2,furniture_object,TILESET - Ur.png,7,14
243,15,3,furniture_object,TILESET - Airship.png,6,9
244,15,4,furniture_object,TILESET - Shop_1.png,2,8
245,15,5,furniture_object,TILESET - Canaan-Inn_ItemShop.png,0,6
246,15,6,furniture_object,TILESET - Canaan-Magic_WeaponShop.png,0,9
247,15,7,furniture_object,TILESET - Canaan-ArmorShop.png,0,9
248,15,8,furniture_object,TILESET - Canaan-Shrine.png,0,9
249,15,9,furniture_object,TILESET - Amur-House.png,0,7
250,15,10,furniture_object,TILESET - Shop_1.png,7,8
251,15,11,furniture_object,TILESET - Saronia_NorthWest-Library.png,0,7
252,15,12,furniture_object,TILESET - Amur-ArmorShop.png,0,7
253,15,13,furniture_object,TILESET - Eureka_B7_1.png,0,1
254,15,14,furniture_object,TILESET - Saronia_Catacombs3.png,0,7
255,15,15,furniture_object,TILESET - Castle_Sasune.png,0,13
256,16,0,furniture_object,TILESET - Molten_CaveB1.png,1,11
257,16,1,furniture_object,TILESET - Molten_CaveB1.png,1,7
258,16,2,furniture_object,TILESET - Inn_ItemShop.png,7,8
259,16,3,furniture_object,TILESET - Canaan-Inn_ItemShop.png,0,9
260,16,4,furniture_object,TILESET - Canaan-ArmorShop.png,7,9
261,16,5,furniture_object,TILESET - Canaan-Shrine.png,7,9
262,16,6,furniture_object,TILESET - Amur-ArmorShop.png,2,12
263,16,7,furniture_object,TILESET - Saronia_NorthWest-Library.png,2,12
264,16,8,furniture_object,TILESET - Amur-House.png,2,12
265,16,9,furniture_object,TILESET - Canaan-ArmorShop.png,3,4
266,16,10,furniture_object,TILESET - Canaan-Magic_WeaponShop.png,3,4
267,16,11,furniture_object,TILESET - Canaan-Magic_WeaponShop.png,3,5
268,16,12,furniture_object,TILESET - Canaan-ArmorShop.png,3,5
269,16,13,furniture_object,TILESET - Canaan-CidHouse_1F.png,0,9
270,16,14,furniture_object,TILESET - Ur_Shed.png,0,7
271,16,15,furniture_object,TILESET - Inn_ItemShop.png,0,7
272,17,0,furniture_object,TILESET - Shop_1.png,2,12
273,17,1,furniture_object,TILESET - Ur_Shed.png,2,12
274,17,2,furniture_object,TILESET - Inn_ItemShop.png,2,12
275,17,3,furniture_object,TILESET - Falgabard-Inn_ItemShop.png,2,12
276,17,4,furniture_object,TILESET - Airship.png,1,8
277,17,5,furniture_object,TILESET - Canaan-ArmorShop.png,7,11
278,17,6,furniture_object,TILESET - Tozus-Magic_WeaponShop.png,0,4
279,17,7,furniture_object,TILESET - Shop_1.png,0,7
280,17,8,furniture_object,TILESET - Canaan-CidHouse_1F.png,1,13
281,17,9,furniture_object,TILESET - Shop_1.png,2,6
282,17,10,furniture_object,TILESET - Dragons_Peak.png,2,14
283,17,11,furniture_object,TILESET - Gulgan_Gulch1.png,2,6
284,17,12,furniture_object,TILESET - Amur-Shrine.png,2,6
285,17,13,furniture_object,TILESET - Saronia_Castle-Gate.png,1,15
286,17,14,furniture_object,TILESET - Eureka_B3.png,0,1
287,17,15,furniture_object,TILESET - Eureka_B1.png,0,1
288,18,0,furniture_object,TILESET - The_Invincible.png,1,8
289,18,1,furniture_object,TILESET - Canaan-ArmorShop.png,7,10
290,18,2,furniture_object,TILESET - Canaan-Magic_WeaponShop.png,7,10
291,18,3,furniture_object,TILESET - Canaan-Magic_WeaponShop.png,0,14
292,18,4,furniture_object,TILESET - Canaan-ArmorShop.png,0,14
293,18,5,furniture_object,TILESET - Canaan-NobleHouse.png,7,9
294,18,6,furniture_object,TILESET - SealedCave.png,1,5
295,18,7,furniture_object,TILESET - Amur-Inn_Pub.png,4,0
296,18,8,furniture_object,TILESET - Amur-ArmorShop.png,4,0
297,18,9,furniture_object,TILESET - Canaan-ArmorShop.png,4,0
298,18,10,furniture_object,TILESET - Canaan-Magic_WeaponShop.png,4,0
299,18,11,furniture_object,TILESET - Canaan-Inn_ItemShop.png,4,0
300,18,12,furniture_object,TILESET - Falgabard-Inn_ItemShop.png,4,0
301,18,13,furniture_object,TILESET - Ancients_Maze1.png,5,4
302,18,14,furniture_object,TILESET - Ancients_Maze1.png,1,7
303,18,15,furniture_object,TILESET - Eureka_B7_1.png,2,13
304,19,0,furniture_object,TILESET - Eureka_B7_1.png,0,15
305,19,1,furniture_object,TILESET - Cave_of_Shadows3_2.png,2,13
306,19,2,furniture_object,TILESET - Ancient_Ruins1.png,2,13
307,19,3,furniture_object,TILESET - Cave_of_the_Circle1.png,2,13
308,19,4,furniture_object,TILESET - Cave_of_Tides1.png,2,13
309,19,5,furniture_object,TILESET - Alter Cave.png,1,13
310,19,6,furniture_object,TILESET - Mythril_Mine.png,2,13
311,19,7,furniture_object,TILESET - Alter Cave.png,2,13
312,19,8,furniture_object,TILESET - SealedCave.png,0,15
313,19,9,furniture_object,TILESET - Alter Cave.png,0,15
314,19,10,furniture_object,TILESET - Molten_CaveB1.png,0,15
315,19,11,furniture_object,TILESET - Ancients_Maze1.png,1,10
316,19,12,furniture_object,TILESET - Ur_EldersHouse.png,2,6
317,19,13,furniture_object,TILESET - SealedCave.png,0,0
318,19,14,furniture_object,TILESET - Alter Cave.png,0,0
319,19,15,furniture_object,TILESET - Canaan-ArmorShop.png,2,6
320,20,0,furniture_object,TILESET - Canaan-Magic_WeaponShop.png,2,6
321,20,1,furniture_object,TILESET - Mythril_Mine.png,2,14
322,20,2,furniture_object,TILESET - Cave_of_Tides1.png,2,14
323,20,3,furniture_object,TILESET - Cave_of_the_Circle1.png,2,14
324,20,4,furniture_object,TILESET - Cave_of_Shadows3_2.png,2,14
325,20,5,furniture_object,TILESET - Ancient_Ruins1.png,2,14
326,20,6,furniture_object,TILESET - Alter Cave.png,2,14
327,20,7,furniture_object,TILESET - Ancient_Ruins1.png,3,4
328,20,8,furniture_object,TILESET - Cave_of_Shadows3_2.png,3,4
329,20,9,furniture_object,TILESET - Cave_of_the_Circle1.png,3,4
330,20,10,furniture_object,TILESET - Mythril_Mine.png,3,4
331,20,11,furniture_object,TILESET - Alter Cave.png,3,4
332,20,12,furniture_object,TILESET - Shop_1.png,0,14
333,20,13,furniture_object,TILESET - Canaan-NobleHouse.png,0,9
334,20,14,furniture_object,TILESET - Canaan-NobleHouse.png,1,13
335,20,15,furniture_object,TILESET - Goldor_Manor1_1.png,7,1
336,21,0,furniture_object,TILESET - Canaan-Magic_WeaponShop.png,3,8
337,21,1,furniture_object,TILESET - Canaan-ArmorShop.png,3,8
338,21,2,furniture_object,TILESET - Airship.png,3,10
339,21,3,furniture_object,TILESET - Amur.png,1,1
340,21,4,furniture_object,TILESET - Ur_Shed.png,2,7
341,21,5,furniture_object,TILESET - Canaan-CidHouse_1F.png,2,7
342,21,6,furniture_object,TILESET - Canaan-Shrine.png,2,7
343,21,7,furniture_object,TILESET - Canaan-NobleHouse.png,2,7
344,21,8,furniture_object,TILESET - Goldor_Manor1_1.png,2,11
345,21,9,furniture_object,TILESET - Canaan-Magic_WeaponShop.png,0,6
346,21,10,furniture_object,TILESET - Amur-ArmorShop.png,2,8
347,21,11,furniture_object,TILESET - Saronia_Castle-Gate.png,0,4
348,21,12,furniture_object,TILESET - Eureka_B7_1.png,1,7
349,21,13,furniture_object,TILESET - Eureka_B3.png,1,7
350,21,14,furniture_object,TILESET - Eureka_B1.png,1,7
351,21,15,furniture_object,TILESET - Subterranean_Lake1.png,1,7
352,22,0,furniture_object,TILESET - Shop_1.png,5,4
353,22,1,furniture_object,TILESET - Kazus.png,6,7
354,22,2,furniture_object,TILESET - Alter Cave.png,1,9
355,22,3,furniture_object,TILESET - SealedCave.png,1,9
356,22,4,furniture_object,TILESET - Goldor_Manor1_1.png,2,7
357,22,5,furniture_object,TILESET - SealedCave.png,6,15
358,22,6,furniture_object,TILESET - Saronia_NorthEast.png,4,6
359,22,7,furniture_object,TILESET - Tozus-Inn_ItemShop.png,0,9
360,22,8,furniture_object,TILESET - The_Invincible.png,1,3
361,22,9,furniture_object,TILESET - Saronia_NorthWest-Library.png,0,9
362,22,10,furniture_object,TILESET - Amur-ArmorShop.png,0,9
363,22,11,furniture_object,TILESET - Amur-House.png,0,9
364,22,12,furniture_object,TILESET - Alter Cave.png,6,14
365,22,13,furniture_object,TILESET - SealedCave.png,6,14
366,22,14,furniture_object,TILESET - Alter Cave.png,4,3
367,22,15,furniture_object,TILESET - SealedCave.png,4,3
368,23,0,furniture_object,TILESET - Ancients_Maze1.png,5,1
369,23,1,furniture_object,TILESET - Heins_Castle1.png,5,1
370,23,2,furniture_object,TILESET - Tower_of_Owen1F.png,1,7
371,23,3,furniture_object,TILESET - Molten_CaveB1.png,1,9
372,23,4,furniture_object,TILESET - Eureka_B7_1.png,1,9
373,23,5,furniture_object,TILESET - Falgabard-Inn_ItemShop.png,2,6
374,23,6,furniture_object,TILESET - Tozus-Inn_ItemShop.png,4,0
375,23,7,furniture_object,TILESET - Shop_1.png,4,0
376,23,8,furniture_object,TILESET - Canaan-CidHouse_1F.png,5,3
377,23,9,furniture_object,TILESET - Canaan-Shrine.png,5,3
378,23,10,furniture_object,TILESET - Canaan-Shrine.png,0,15
379,23,11,furniture_object,TILESET - Ancients_Maze1.png,2,11
380,23,12,furniture_object,TILESET - Alter Cave.png,1,5
381,23,13,furniture_object,TILESET - Mythril_Mine.png,2,10
382,23,14,furniture_object,TILESET - Alter Cave.png,2,10
383,23,15,furniture_object,TILESET - Crystal_Tower_8F_1.png,3,7
384,24,0,furniture_object,TILESET - Ancients_Maze1.png,3,4
385,24,1,furniture_object,TILESET - Chocobos_Forest.png,1,0
386,24,2,furniture_object,TILESET - Crystal_Tower_8F_1.png,4,15
387,24,3,furniture_object,TILESET - Airship.png,7,14
388,24,4,furniture_object,TILESET - Cave_of_Tides1.png,1,1
389,24,5,furniture_object,TILESET - Cave_of_the_Circle1.png,1,1
390,24,6,furniture_object,TILESET - Mythril_Mine.png,1,1
391,24,7,furniture_object,TILESET - Alter Cave.png,1,1
392,24,8,furniture_object,TILESET - Amur-ArmorShop.png,0,14
393,24,9,furniture_object,TILESET - Amur-Magic_WeaponShop.png,0,14
394,24,10,furniture_object,TILESET - Saronia_NorthWest-Library.png,0,6
395,24,11,furniture_object,TILESET - Castle_Sasune_Inner.png,0,9
396,24,12,furniture_object,TILESET - Castle_Argus.png,0,14
397,24,13,furniture_object,TILESET - Mythril_Mine.png,3,14
398,24,14,furniture_object,TILESET - Cave_of_Tides1.png,3,14
399,24,15,furniture_object,TILESET - Cave_of_the_Circle1.png,3,14
400,25,0,furniture_object,TILESET - Tower_of_Owen1F.png,1,3
401,25,1,furniture_object,TILESET - Sewers1.png,1,15
402,25,2,furniture_object,TILESET - Mythril_Mine.png,2,12
403,25,3,furniture_object,TILESET - Alter Cave.png,2,12
404,25,4,furniture_object,TILESET - Ancients_Maze1.png,2,15
405,25,5,furniture_object,TILESET - Amur-ArmorShop.png,1,6
406,25,6,furniture_object,TILESET - Amur-Magic_WeaponShop.png,1,6
407,25,7,furniture_object,TILESET - Shop_1.png,1,6
408,25,8,furniture_object,TILESET - Canaan-ArmorShop.png,1,6
409,25,9,furniture_object,TILESET - Canaan-Magic_WeaponShop.png,1,6
410,25,10,furniture_object,TILESET - Cave_of_Tides1.png,3,1
411,25,11,furniture_object,TILESET - Molten_CaveB1.png,0,2
412,25,12,furniture_object,TILESET - Saronia_NorthWest-Library.png,0,8
413,25,13,furniture_object,TILESET - Amur-Magic_WeaponShop.png,2,8
414,25,14,furniture_object,TILESET - Falgabard-Inn_ItemShop.png,2,8
415,25,15,furniture_object,TILESET - Canaan-ArmorShop.png,2,8
416,26,0,furniture_object,TILESET - Castle_Argus-Tower.png,1,0
417,26,1,furniture_object,TILESET - Canaan.png,6,15
418,26,2,furniture_object,TILESET - Ur.png,6,7
419,26,3,furniture_object,TILESET - Canaan.png,6,7
420,26,4,furniture_object,TILESET - Canaan-CidHouse_1F.png,2,3
421,26,5,furniture_object,TILESET - Canaan-Shrine.png,2,3
422,26,6,furniture_object,TILESET - Ancients_Maze1.png,0,9
423,26,7,furniture_object,TILESET - Tozus-Magic_WeaponShop.png,1,6
