source_tileset,source_row,source_column,tile_id,match_type
TILESET - Alter Cave.png,2,11,745,representative
TILESET - Alter Cave.png,2,12,403,representative
TILESET - Alter Cave.png,2,13,311,representative
TILESET - Alter Cave.png,2,14,326,representative
TILESET - Alter Cave.png,2,15,1666,exact
TILESET - Alter Cave.png,3,0,1247,representative
TILESET - Alter Cave.png,3,1,1546,representative
TILESET - Alter Cave.png,3,2,4024,representative
TILESET - Alter Cave.png,3,3,1503,representative
TILESET - Alter Cave.png,3,4,331,representative
TILESET - Alter Cave.png,3,5,1666,exact
TILESET - Alter Cave.png,3,6,229,representative
TILESET - Alter Cave.png,3,7,0,exact
TILESET - Alter Cave.png,3,8,0,exact
TILESET - Alter Cave.png,3,9,0,exact
TILESET - Alter Cave.png,3,10,1441,representative
TILESET - Alter Cave.png,3,11,1900,representative
TILESET - Alter Cave.png,3,12,1277,representative
TILESET - Alter Cave.png,3,13,490,representative
TILESET - Alter Cave.png,3,14,488,representative
TILESET - Alter Cave.png,3,15,1288,representative
TILESET - Alter Cave.png,4,0,4628,representative
TILESET - Alter Cave.png,4,1,1386,representative
TILESET - Alter Cave.png,4,2,1985,representative
TILESET - Alter Cave.png,4,3,366,representative
TILESET - Alter Cave.png,4,4,318,exact
TILESET - Alter Cave.png,4,5,1522,exact
TILESET - Alter Cave.png,4,6,1299,representative
TILESET - Alter Cave.png,4,7,3436,exact
TILESET - Alter Cave.png,4,8,88,representative
TILESET - Alter Cave.png,4,9,1930,representative
TILESET - Alter Cave.png,4,10,1475,representative
TILESET - Alter Cave.png,4,11,4848,exact
TILESET - Alter Cave.png,4,12,3924,representative
TILESET - Alter Cave.png,4,13,4446,representative
TILESET - Alter Cave.png,4,14,4815,representative
TILESET - Alter Cave.png,4,15,3848,representative
TILESET - Alter Cave.png,5,0,5052,representative
TILESET - Alter Cave.png,5,1,0,exact
TILESET - Alter Cave.png,5,2,0,exact
TILESET - Alter Cave.png,5,3,0,exact
TILESET - Alter Cave.png,5,4,0,exact
TILESET - Alter Cave.png,5,5,0,exact
TILESET - Alter Cave.png,5,6,0,exact
TILESET - Alter Cave.png,5,7,0,exact
TILESET - Alter Cave.png,5,8,0,exact
TILESET - Alter Cave.png,5,9,0,exact
TILESET - Alter Cave.png,5,10,3696,exact
TILESET - Alter Cave.png,5,11,318,exact
TILESET - Alter Cave.png,5,12,318,exact
TILESET - Alter Cave.png,5,13,1522,exact
TILESET - Alter Cave.png,5,14,1247,exact
TILESET - Alter Cave.png,5,15,0,exact
TILESET - Alter Cave.png,6,0,1247,exact
TILESET - Alter Cave.png,6,1,1247,exact
TILESET - Alter Cave.png,6,2,3696,exact
TILESET - Alter Cave.png,6,3,4024,exact
TILESET - Alter Cave.png,6,4,1386,exact
TILESET - Alter Cave.png,6,5,1475,exact
TILESET - Alter Cave.png,6,6,1247,exact
TILESET - Alter Cave.png,6,7,4024,exact
TILESET - Alter Cave.png,6,8,4024,exact
TILESET - Alter Cave.png,6,9,2575,representative
TILESET - Alter Cave.png,6,10,1386,exact
TILESET - Alter Cave.png,6,11,1475,exact
TILESET - Alter Cave.png,6,12,1843,representative
TILESET - Alter Cave.png,6,13,4629,representative
TILESET - Alter Cave.png,6,14,364,representative
TILESET - Alter Cave.png,6,15,240,representative
TILESET - Alter Cave.png,7,0,689,representative
TILESET - Alter Cave.png,7,1,4534,representative
TILESET - Alter Cave.png,7,2,1386,exact
TILESET - Alter Cave.png,7,3,1475,exact
TILESET - Alter Cave.png,7,4,1842,representative
TILESET - Alter Cave.png,7,5,1509,exact
TILESET - Alter Cave.png,7,6,366,exact
TILESET - Alter Cave.png,7,7,318,exact
TILESET - Alter Cave.png,7,8,1247,exact
TILESET - Alter Cave.png,7,9,1247,exact
TILESET - Alter Cave.png,7,10,1247,exact
TILESET - Alter Cave.png,7,11,1247,exact
TILESET - Alter Cave.png,7,12,181,representative
TILESET - Alter Cave.png,7,13,508,representative
TILESET - Alter Cave.png,7,14,2575,fuzzy
TILESET - Alter Cave.png,7,15,0,exact
TILESET - Amur-ArmorShop.png,0,0,5707,representative
TILESET - Amur-ArmorShop.png,0,1,2730,representative
TILESET - Amur-ArmorShop.png,0,2,990,representative
TILESET - Amur-ArmorShop.png,0,3,978,representative
TILESET - Amur-ArmorShop.png,0,4,538,representative
TILESET - Amur-ArmorShop.png,0,5,955,representative
TILESET - Amur-ArmorShop.png,0,6,679,representative
TILESET - Amur-ArmorShop.png,0,7,252,representative
TILESET - Amur-ArmorShop.png,0,8,684,representative
TILESET - Amur-ArmorShop.png,0,9,362,representative
TILESET - Amur-ArmorShop.png,0,10,4431,representative
TILESET - Amur-ArmorShop.png,0,11,4259,representative
TILESET - Amur-ArmorShop.png,0,12,806,representative
TILESET - Amur-ArmorShop.png,0,13,3238,representative
TILESET - Amur-ArmorShop.png,0,14,392,representative
TILESET - Amur-ArmorShop.png,0,15,1005,representative
TILESET - Amur-ArmorShop.png,1,0,2803,representative
TILESET - Amur-ArmorShop.png,1,1,5891,representative
TILESET - Amur-ArmorShop.png,1,2,5890,representative
TILESET - Amur-ArmorShop.png,1,3,5805,representative
TILESET - Amur-ArmorShop.png,1,4,2820,representative
TILESET - Amur-ArmorShop.png,1,5,541,representative
TILESET - Amur-ArmorShop.png,1,6,405,representative
TILESET - Amur-ArmorShop.png,1,7,4668,representative
TILESET - Amur-ArmorShop.png,1,8,4042,representative
TILESET - Amur-ArmorShop.png,1,9,3293,representative
TILESET - Amur-ArmorShop.png,1,10,3886,representative
TILESET - Amur-ArmorShop.png,1,11,3156,representative
TILESET - Amur-ArmorShop.png,1,12,3297,representative
TILESET - Amur-ArmorShop.png,1,13,1460,representative
TILESET - Amur-ArmorShop.png,1,14,722,representative
TILESET - Amur-ArmorShop.png,1,15,2188,representative
TILESET - Amur-ArmorShop.png,2,0,4679,representative
TILESET - Amur-ArmorShop.png,2,1,999,representative
TILESET - Amur-ArmorShop.png,2,2,211,representative
TILESET - Amur-ArmorShop.png,2,3,1004,representative
TILESET - Amur-ArmorShop.png,2,4,518,representative
TILESET - Amur-ArmorShop.png,2,5,565,representative
TILESET - Amur-ArmorShop.png,2,6,236,representative
TILESET - Amur-ArmorShop.png,2,7,1745,representative
TILESET - Amur-ArmorShop.png,2,8,346,representative
TILESET - Amur-ArmorShop.png,2,9,3309,representative
TILESET - Amur-ArmorShop.png,2,10,3838,representative
TILESET - Amur-ArmorShop.png,2,11,4786,representative
TILESET - Amur-ArmorShop.png,2,12,262,representative
TILESET - Amur-ArmorShop.png,2,13,4615,representative
TILESET - Amur-ArmorShop.png,2,14,5841,representative
TILESET - Amur-ArmorShop.png,2,15,5819,representative
TILESET - Amur-ArmorShop.png,3,0,3156,exact
TILESET - Amur-ArmorShop.png,3,1,2973,representative
TILESET - Amur-ArmorShop.png,3,2,2778,representative
TILESET - Amur-ArmorShop.png,3,3,1342,representative
TILESET - Amur-ArmorShop.png,3,4,208,representative
TILESET - Amur-ArmorShop.png,3,5,656,representative
TILESET - Amur-ArmorShop.png,3,6,635,representative
TILESET - Amur-ArmorShop.png,3,7,206,representative
TILESET - Amur-ArmorShop.png,3,8,628,representative
TILESET - Amur-ArmorShop.png,3,9,632,representative
TILESET - Amur-ArmorShop.png,3,10,42,representative
TILESET - Amur-ArmorShop.png,3,11,964,representative
TILESET - Amur-ArmorShop.png,3,12,2223,representative
TILESET - Amur-ArmorShop.png,3,13,5673,representative
TILESET - Amur-ArmorShop.png,3,14,2349,representative
TILESET - Amur-ArmorShop.png,3,15,806,exact
TILESET - Amur-ArmorShop.png,4,0,296,representative
TILESET - Amur-ArmorShop.png,4,1,5731,representative
TILESET - Amur-ArmorShop.png,4,2,5772,representative
TILESET - Amur-ArmorShop.png,4,3,5761,representative
TILESET - Amur-ArmorShop.png,4,4,5707,exact
TILESET - Amur-ArmorShop.png,4,5,2730,exact
TILESET - Amur-ArmorShop.png,4,6,5718,representative
TILESET - Amur-ArmorShop.png,4,7,3938,representative
TILESET - Amur-ArmorShop.png,4,8,0,exact
TILESET - Amur-ArmorShop.png,4,9,2407,representative
TILESET - Amur-ArmorShop.png,4,10,2886,representative
TILESET - Amur-ArmorShop.png,4,11,2710,representative
TILESET - Amur-ArmorShop.png,4,12,3000,representative
TILESET - Amur-ArmorShop.png,4,13,3186,representative
TILESET - Amur-ArmorShop.png,4,14,2970,representative
TILESET - Amur-ArmorShop.png,4,15,0,exact
TILESET - Amur-ArmorShop.png,5,0,3855,representative
TILESET - Amur-ArmorShop.png,5,1,4615,exact
TILESET - Amur-ArmorShop.png,5,2,3838,exact
TILESET - Amur-ArmorShop.png,5,3,1005,exact
TILESET - Amur-ArmorShop.png,5,4,392,exact
TILESET - Amur-ArmorShop.png,5,5,5841,exact
TILESET - Amur-ArmorShop.png,5,6,5819,exact
TILESET - Amur-ArmorShop.png,5,7,3436,exact
TILESET - Amur-ArmorShop.png,5,8,0,exact
TILESET - Amur-ArmorShop.png,5,9,2969,representative
TILESET - Amur-ArmorShop.png,5,10,3086,representative
TILESET - Amur-ArmorShop.png,5,11,5707,exact
TILESET - Amur-ArmorShop.png,5,12,5707,exact
TILESET - Amur-ArmorShop.png,5,13,2730,exact
TILESET - Amur-ArmorShop.png,5,14,42,exact
TILESET - Amur-ArmorShop.png,5,15,0,exact
TILESET - Amur-ArmorShop.png,6,0,42,exact
TILESET - Amur-ArmorShop.png,6,1,3938,exact
TILESET - Amur-ArmorShop.png,6,2,4259,exact
TILESET - Amur-ArmorShop.png,6,3,2734,representative
TILESET - Amur-ArmorShop.png,6,4,638,representative
TILESET - Amur-ArmorShop.png,6,5,2407,exact
TILESET - Amur-ArmorShop.png,6,6,2886,exact
TILESET - Amur-ArmorShop.png,6,7,915,representative
TILESET - Amur-ArmorShop.png,6,8,5981,representative
TILESET - Amur-ArmorShop.png,6,9,2596,representative
TILESET - Amur-ArmorShop.png,6,10,2407,exact
TILESET - Amur-ArmorShop.png,6,11,2886,exact
TILESET - Amur-ArmorShop.png,6,12,5718,exact
TILESET - Amur-ArmorShop.png,6,13,915,exact
TILESET - Amur-ArmorShop.png,6,14,5761,exact
TILESET - Amur-ArmorShop.png,6,15,5707,exact
TILESET - Amur-ArmorShop.png,7,0,638,exact
TILESET - Amur-ArmorShop.png,7,1,4528,representative
TILESET - Amur-ArmorShop.png,7,2,2407,exact
TILESET - Amur-ArmorShop.png,7,3,2886,exact
TILESET - Amur-ArmorShop.png,7,4,5718,exact
TILESET - Amur-ArmorShop.png,7,5,915,exact
TILESET - Amur-ArmorShop.png,7,6,5761,exact
TILESET - Amur-ArmorShop.png,7,7,5707,exact
TILESET - Amur-ArmorShop.png,7,8,252,exact
TILESET - Amur-ArmorShop.png,7,9,362,exact
TILESET - Amur-ArmorShop.png,7,10,392,exact
TILESET - Amur-ArmorShop.png,7,11,538,exact
TILESET - Amur-ArmorShop.png,7,12,160,representative
TILESET - Amur-ArmorShop.png,7,13,500,representative
TILESET - Amur-ArmorShop.png,7,14,5981,exact
TILESET - Amur-ArmorShop.png,7,15,0,exact
TILESET - Amur-House.png,0,0,5708,representative
TILESET - Amur-House.png,0,1,2730,fuzzy
TILESET - Amur-House.png,0,2,989,representative
TILESET - Amur-House.png,0,3,977,representative
TILESET - Amur-House.png,0,4,545,representative
TILESET - Amur-House.png,0,5,811,representative
TILESET - Amur-House.png,0,6,678,representative
TILESET - Amur-House.png,0,7,249,representative
TILESET - Amur-House.png,0,8,683,representative
TILESET - Amur-House.png,0,9,363,representative
TILESET - Amur-House.png,0,10,4430,representative
TILESET - Amur-House.png,0,11,4260,representative
TILESET - Amur-House.png,0,12,2218,representative
TILESET - Amur-House.png,0,13,1199,representative
TILESET - Amur-House.png,0,14,883,representative
TILESET - Amur-House.png,0,15,1855,representative
TILESET - Amur-House.png,1,0,2357,representative
TILESET - Amur-House.png,1,1,2515,representative
TILESET - Amur-House.png,1,2,2515,exact
TILESET - Amur-House.png,1,3,2516,representative
TILESET - Amur-House.png,1,4,2359,representative
TILESET - Amur-House.png,1,5,2051,representative
TILESET - Amur-House.png,1,6,1959,representative
TILESET - Amur-House.png,1,7,4758,representative
TILESET - Amur-House.png,1,8,3821,representative
TILESET - Amur-House.png,1,9,4393,representative
TILESET - Amur-House.png,1,10,4651,representative
TILESET - Amur-House.png,1,11,5940,representative
TILESET - Amur-House.png,1,12,3319,representative
TILESET - Amur-House.png,1,13,1696,representative
TILESET - Amur-House.png,1,14,1962,representative
TILESET - Amur-House.png,1,15,1254,representative
TILESET - Amur-House.png,2,0,3429,representative
TILESET - Amur-House.png,2,1,812,representative
TILESET - Amur-House.png,2,2,1998,representative
TILESET - Amur-House.png,2,3,571,representative
TILESET - Amur-House.png,2,4,1364,representative
TILESET - Amur-House.png,2,5,2233,representative
TILESET - Amur-House.png,2,6,1901,representative
TILESET - Amur-House.png,2,7,1646,representative
TILESET - Amur-House.png,2,8,1358,representative
TILESET - Amur-House.png,2,9,5675,representative
TILESET - Amur-House.png,2,10,3975,representative
TILESET - Amur-House.png,2,11,4787,representative
TILESET - Amur-House.png,2,12,264,representative
TILESET - Amur-House.png,2,13,4618,representative
TILESET - Amur-House.png,2,14,1104,representative
TILESET - Amur-House.png,2,15,3180,representative
TILESET - Amur-House.png,3,0,5940,exact
TILESET - Amur-House.png,3,1,2782,representative
TILESET - Amur-House.png,3,2,2733,representative
TILESET - Amur-House.png,3,3,1235,representative
TILESET - Amur-House.png,3,4,1662,representative
TILESET - Amur-House.png,3,5,1670,representative
TILESET - Amur-House.png,3,6,1541,representative
TILESET - Amur-House.png,3,7,2004,representative
TILESET - Amur-House.png,3,8,1771,representative
TILESET - Amur-House.png,3,9,1591,representative
TILESET - Amur-House.png,3,10,43,representative
TILESET - Amur-House.png,3,11,965,representative
TILESET - Amur-House.png,3,12,1301,representative
TILESET - Amur-House.png,3,13,5673,exact
TILESET - Amur-House.png,3,14,2349,fuzzy
TILESET - Amur-House.png,3,15,2218,exact
TILESET - Amur-House.png,4,0,1797,representative
TILESET - Amur-House.png,4,1,5732,representative
TILESET - Amur-House.png,4,2,5773,representative
TILESET - Amur-House.png,4,3,5760,representative
TILESET - Amur-House.png,4,4,5708,exact
TILESET - Amur-House.png,4,5,2730,exact
TILESET - Amur-House.png,4,6,3106,representative
TILESET - Amur-House.png,4,7,3365,representative
TILESET - Amur-House.png,4,8,0,exact
TILESET - Amur-House.png,4,9,2407,fuzzy
TILESET - Amur-House.png,4,10,2886,fuzzy
TILESET - Amur-House.png,4,11,3051,representative
TILESET - Amur-House.png,4,12,3052,representative
TILESET - Amur-House.png,4,13,2946,representative
TILESET - Amur-House.png,4,14,3197,representative
TILESET - Amur-House.png,4,15,0,exact
TILESET - Amur-House.png,5,0,3856,representative
TILESET - Amur-House.png,5,1,4618,exact
TILESET - Amur-House.png,5,2,3975,exact
TILESET - Amur-House.png,5,3,1855,exact
TILESET - Amur-House.png,5,4,883,exact
TILESET - Amur-House.png,5,5,1104,exact
TILESET - Amur-House.png,5,6,3180,exact
TILESET - Amur-House.png,5,7,3423,representative
TILESET - Amur-House.png,5,8,0,exact
TILESET - Amur-House.png,5,9,3055,representative
TILESET - Amur-House.png,5,10,2950,representative
TILESET - Amur-House.png,5,11,5708,exact
TILESET - Amur-House.png,5,12,5708,exact
TILESET - Amur-House.png,5,13,2730,exact
TILESET - Amur-House.png,5,14,43,exact
TILESET - Amur-House.png,5,15,0,exact
TILESET - Amur-House.png,6,0,43,exact
TILESET - Amur-House.png,6,1,3365,exact
TILESET - Amur-House.png,6,2,4260,exact
TILESET - Amur-House.png,6,3,2734,fuzzy
TILESET - Amur-House.png,6,4,619,representative
TILESET - Amur-House.png,6,5,2407,exact
TILESET - Amur-House.png,6,6,2886,exact
TILESET - Amur-House.png,6,7,914,representative
TILESET - Amur-House.png,6,8,5981,fuzzy
TILESET - Amur-House.png,6,9,3640,representative
TILESET - Amur-House.png,6,10,2407,exact
TILESET - Amur-House.png,6,11,2886,exact
TILESET - Amur-House.png,6,12,3106,exact
TILESET - Amur-House.png,6,13,914,exact
TILESET - Amur-House.png,6,14,5760,exact
TILESET - Amur-House.png,6,15,5708,exact
TILESET - Amur-House.png,7,0,619,exact
TILESET - Amur-House.png,7,1,4659,representative
TILESET - Amur-House.png,7,2,2407,exact
TILESET - Amur-House.png,7,3,2886,exact
TILESET - Amur-House.png,7,4,3106,exact
TILESET - Amur-House.png,7,5,914,exact
TILESET - Amur-House.png,7,6,5760,exact
TILESET - Amur-House.png,7,7,5708,exact
TILESET - Amur-House.png,7,8,249,exact
TILESET - Amur-House.png,7,9,363,exact
TILESET - Amur-House.png,7,10,883,exact
TILESET - Amur-House.png,7,11,545,exact
TILESET - Amur-House.png,7,12,161,representative
TILESET - Amur-House.png,7,13,501,representative
TILESET - Amur-House.png,7,14,5981,exact
TILESET - Amur-House.png,7,15,0,exact
TILESET - Amur-Inn_Pub.png,0,0,5708,exact
TILESET - Amur-Inn_Pub.png,0,1,2730,exact
TILESET - Amur-Inn_Pub.png,0,2,989,exact
TILESET - Amur-Inn_Pub.png,0,3,977,exact
TILESET - Amur-Inn_Pub.png,0,4,545,exact
TILESET - Amur-Inn_Pub.png,0,5,1709,representative
TILESET - Amur-Inn_Pub.png,0,6,678,exact
TILESET - Amur-Inn_Pub.png,0,7,249,exact
TILESET - Amur-Inn_Pub.png,0,8,683,exact
TILESET - Amur-Inn_Pub.png,0,9,363,exact
TILESET - Amur-Inn_Pub.png,0,10,4433,representative
TILESET - Amur-Inn_Pub.png,0,11,4261,representative
TILESET - Amur-Inn_Pub.png,0,12,5968,representative
TILESET - Amur-Inn_Pub.png,0,13,3238,fuzzy
TILESET - Amur-Inn_Pub.png,0,14,2067,representative
TILESET - Amur-Inn_Pub.png,0,15,1402,representative
TILESET - Amur-Inn_Pub.png,1,0,2824,representative
TILESET - Amur-Inn_Pub.png,1,1,5752,representative
TILESET - Amur-Inn_Pub.png,1,2,5751,representative
TILESET - Amur-Inn_Pub.png,1,3,5756,representative
TILESET - Amur-Inn_Pub.png,1,4,3128,representative
TILESET - Amur-Inn_Pub.png,1,5,573,representative
TILESET - Amur-Inn_Pub.png,1,6,889,representative
TILESET - Amur-Inn_Pub.png,1,7,5483,representative
TILESET - Amur-Inn_Pub.png,1,8,5367,representative
TILESET - Amur-Inn_Pub.png,1,9,5363,representative
TILESET - Amur-Inn_Pub.png,1,10,5536,representative
TILESET - Amur-Inn_Pub.png,1,11,5802,representative
TILESET - Amur-Inn_Pub.png,1,12,2555,representative
TILESET - Amur-Inn_Pub.png,1,13,1460,exact
TILESET - Amur-Inn_Pub.png,1,14,759,representative
TILESET - Amur-Inn_Pub.png,1,15,2187,representative
TILESET - Amur-Inn_Pub.png,2,0,4085,representative
TILESET - Amur-Inn_Pub.png,2,1,1720,representative
TILESET - Amur-Inn_Pub.png,2,2,1415,representative
TILESET - Amur-Inn_Pub.png,2,3,1400,representative
TILESET - Amur-Inn_Pub.png,2,4,2020,representative
TILESET - Amur-Inn_Pub.png,2,5,472,representative
TILESET - Amur-Inn_Pub.png,2,6,3042,representative
TILESET - Amur-Inn_Pub.png,2,7,1864,representative
TILESET - Amur-Inn_Pub.png,2,8,847,representative
TILESET - Amur-Inn_Pub.png,2,9,5801,representative
TILESET - Amur-Inn_Pub.png,2,10,3976,representative
TILESET - Amur-Inn_Pub.png,2,11,4788,representative
TILESET - Amur-Inn_Pub.png,2,12,264,exact
TILESET - Amur-Inn_Pub.png,2,13,4620,representative
TILESET - Amur-Inn_Pub.png,2,14,5840,representative
TILESET - Amur-Inn_Pub.png,2,15,5820,representative
TILESET - Amur-Inn_Pub.png,3,0,5802,exact
TILESET - Amur-Inn_Pub.png,3,1,2973,fuzzy
TILESET - Amur-Inn_Pub.png,3,2,2899,representative
TILESET - Amur-Inn_Pub.png,3,3,1244,representative
TILESET - Amur-Inn_Pub.png,3,4,1377,representative
TILESET - Amur-Inn_Pub.png,3,5,1712,representative
TILESET - Amur-Inn_Pub.png,3,6,1861,representative
TILESET - Amur-Inn_Pub.png,3,7,1751,representative
TILESET - Amur-Inn_Pub.png,3,8,1717,representative
TILESET - Amur-Inn_Pub.png,3,9,1877,representative
TILESET - Amur-Inn_Pub.png,3,10,43,exact
TILESET - Amur-Inn_Pub.png,3,11,965,exact
TILESET - Amur-Inn_Pub.png,3,12,1851,representative
TILESET - Amur-Inn_Pub.png,3,13,5673,exact
